Density_min-max,density_o_min-max,Altitude_min-max,Kp_min-max,DSTIndex_min-max,Flag(***)_min-max,apindex_min-max,la_min-max,lo_min-max,local_solar_time_min-max,Unnamed: 0,Density,density_o,Altitude,la,lo,local_solar_time,Magnitude of Average Field Vector,ProtonDensity ,Kp,DSTIndex,Flag(***),apindex
0.263737486,1.14E-46,0.300660465,0.120481928,0.820717131,0,0.022346369,0.975499016,1.10E-31,0.822975975,0,1.62E-13,1.71E-13,447730.5935,87.22989016,-69.79553783,19.75139934,4.4,3.9,10,-3,-1,4
0.264849833,1.11E-46,0.301337081,0.120481928,0.816733068,0,0.022346369,0.993795571,9.81E-32,0.854305368,1,1.82E-13,1.68E-13,447762.0411,87.34584546,-81.88441064,20.50329286,4.8,4,10,-4,-1,4
0.263070078,1.15E-46,0.302451589,0.156626506,0.824701195,1,0.027932961,0.994461548,8.66E-32,0.88718345,2,1.50E-13,1.72E-13,447813.8409,87.35006612,-93.41576547,21.29235434,5.6,4.5,13,-2,0,5
0.260789766,1.05E-46,0.303337643,0.156626506,0.820717131,0,0.027932961,0.97724773,7.46E-32,0.918831087,3,1.09E-13,1.62E-13,447855.0227,87.24097272,-105.3900766,22.05188561,5.6,4.6,13,-3,-1,5
0.263014461,1.12E-46,0.302963335,0.325301205,0.80876494,0,0.067039106,0.986825085,2.21E-32,0.837708564,4,1.49E-13,1.69E-13,447837.6257,87.30166967,-157.8360486,20.10497586,5,4.3,27,-6,-1,12
0.263181313,1.20E-46,0.304029107,0.325301205,0.764940239,0,0.067039106,0.995898349,1.04E-32,0.869983425,5,1.52E-13,1.77E-13,447887.1604,87.35917192,-169.5845757,20.87956027,4.8,4.7,27,-17,-1,12
0.258581758,9.41E-47,0.306295219,0.204819277,0.760956175,0,0.033519553,0.987490934,3.59E-31,0.902132362,6,6.93E-14,1.51E-13,447992.4842,87.30588952,178.621546,21.65112256,4.5,4.7,17,-18,-1,6
0.2621802,1.16E-46,0.305290138,0.204819277,0.796812749,0,0.033519553,0.975310541,3.06E-31,0.821052655,7,1.34E-13,1.73E-13,447945.7703,87.22869569,126.1909603,19.70524038,2.2,4.2,17,-9,-1,6
0.261957731,1.25E-46,0.303081567,0.240963855,0.788844622,0,0.039106145,0.993619435,2.94E-31,0.85225834,8,1.30E-13,1.82E-13,447843.1209,87.34472919,114.0575054,20.45416498,3.7,3.8,20,-11,-1,7
0.261790879,1.13E-46,0.301823804,0.240963855,0.792828685,0,0.039106145,0.994443238,2.83E-31,0.885052057,9,1.27E-13,1.70E-13,447784.6629,87.34995008,102.4957226,21.24120171,3.9,2.4,20,-10,-1,7
0.258976641,9.61E-47,0.299919984,0.036144578,0.796812749,0,0.011173184,0.977461436,2.71E-31,0.916674298,10,7.64E-14,1.53E-13,447696.1776,87.24232709,90.51220712,22.0001235,4.1,2.8,3,-9,-1,2
